brand,url,category,category_long,segment,competitor_1,competitor_2,use_case_1,use_case_2,integration_1,integration_2,role,aliases
Pipedrive,pipedrive.com,CRM,visual sales CRM for SMBs,small and mid-size sales teams,HubSpot,Salesforce,manage a visual sales pipeline,track deals and forecast revenue,Slack,Zapier,VP Sales at a 50-person company,Pipedrive CRM
Close,close.com,CRM,sales CRM for inside sales teams,early-stage startups,Pipedrive,HubSpot,track sales pipeline,manage follow-ups automatically,Slack,Zapier,head of sales at a 20-person startup,"Close CRM,close.io"
Attio,attio.com,CRM,modern CRM for high-growth B2B startups,B2B startups,Salesforce,HubSpot,manage customer relationships,automate revenue workflows,Slack,Zapier,founder or RevOps lead at a Series A startup,attio.com
Apollo.io,apollo.io,CRM,B2B sales intelligence and outreach platform,SDR teams at B2B companies,ZoomInfo,Outreach,build targeted prospect lists,automate cold email sequences,Salesforce,HubSpot,VP Sales or SDR manager,"Apollo,Apollo io"
Salesflare,salesflare.com,CRM,automated CRM for small B2B companies,small B2B teams and agencies,Pipedrive,HubSpot,log sales activities automatically,track email opens and follow-ups,Gmail,LinkedIn,founder or solo sales rep at a startup,Salesflare CRM
Copper,copper.com,CRM,Google-native CRM for agencies and consultants,Google Workspace power users,HubSpot,Pipedrive,manage client relationships inside Gmail,track project and sales stages,Google Workspace,Slack,agency owner or consultant,Copper CRM
Nutshell,nutshell.com,CRM,all-in-one CRM and email marketing for B2B teams,small and mid-size B2B sales teams,HubSpot,Salesforce,manage leads and track pipeline progress,automate email drip campaigns,Gmail,Mailchimp,sales manager at an SMB,Nutshell CRM
LeadIQ,leadiq.com,CRM,prospecting and lead capture platform for SDRs,SDR and outbound sales teams,ZoomInfo,Apollo.io,capture prospect data from LinkedIn,sync contacts and activities to CRM,Salesforce,LinkedIn,SDR manager or sales ops lead,LeadIQ Prospecting
Folk,folk.app,CRM,collaborative CRM for founders and agencies,startup founders and agency leads,HubSpot,Attio,manage investor and partner relationships,track relationship touchpoints across channels,Gmail,Notion,founder or BD lead at an early-stage startup,Folk CRM
Amplemarket,amplemarket.com,CRM,AI-powered sales intelligence and engagement platform,outbound sales teams at B2B companies,Apollo.io,ZoomInfo,find and contact ideal prospects automatically,automate multi-channel outreach sequences,Salesforce,LinkedIn,SDR manager or head of outbound sales,Amplemarket AI
Mixpanel,mixpanel.com,product analytics,event-based product analytics for SaaS companies,product and growth teams at SaaS companies,Amplitude,PostHog,track user engagement and feature adoption,analyze funnel conversion rates,Segment,Slack,VP Product or head of growth,Mixpanel Analytics
